;Unidade Acadêmica;Departamento;NomedoLaboratorio;Responsável(is);Site;Observações;Campus da UFC;Localização;Empresa Privada Parceira
188;Centro de Ciências Agrárias (CCA);Engenharia Agrícola;Laboratório de Meteorologia e Climatologia Agrícola;Prof. Thales Vinicius de Araujo Viana;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-agricola-dena-3/;Laboratório utilizado para aulas práticas e experimentais. Possui um banco de dados meteorológicos de quase 50 anos.;Pici;804;-
189;Centro de Ciências Agrárias (CCA);Engenharia Agrícola;Laboratório de Solo, Água, Planta;Prof. Claudivan Feitosa de Lacerda;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-agricola-dena-3/;Dedicado as atividades de ensino e pesquisa para alunos de graduação, iniciação científica e pós-graduação. Os alunos desenvolvem pesquisa em ecofisiologia de plantas assim como existem analises de agua e solo ligados a agricultura.;Pici;804;-
190;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Biomateriais Alimentícios (LBMA);Prof. Dr. Rafael Audino Zambelli (Membro do Conselho Consultivo);https://biomateriais.ufc.br/;O LBMA tem como objetivo principal harmonizar projetos de Ensino, Pesquisa e Extensão nas áreas de Pesquisa e Desenvolvimento de Novos Produtos e Processos na Indústria de Alimentos, com ênfase em Biomateriais (géis, colóides, proteínas, carboidratos e etc).;Pici;857;-
191;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Cereais;Profª. Dorasilvia Ferreira Pontes;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas a análise e desenvolvimento de produtos e derivados de cereais. ;Pici;858;-
192;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Carnes e Pescados (LABCAP);Profª. Elisabeth Mary Cunha da Silva;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas ao processamento de carnes e pescado.;Pici;858;-
193;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Microbiologia de Alimentos;Profª. Evânia Altina Teixeira de Figueiredo;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas e de pesquisa dos alunos do curso de Engenharia de Alimentos relacionadas à microbiológica de alimentos.;Pici;858;-
194;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Frutos e Hortaliças;Prof. Raimundo Wilane de Figueiredo;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas e de pesquisa na área de Engenharia de Alimentos relacionadas às análises de frutos e hortaliças.;Pici;858;-
195;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Controle de Qualidade ;Prof. José Maria Correia da Costa;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas a processos de secagem e controle de qualidade de alimentos de origem vegetal.;Pici;858;-
196;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Laticínios (LABLAT);Profª. Juliane Doering Gasparin Carvalho;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas e de pesquisa do curso de Engenharia de Alimentos relacionadas aos produtos lácteos. Equipamentos existentes;Pici;858;-
197;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Frutos Tropicais;Profª. Lucicleia Barros de Vasconcelos (Ex membro do Conselho de Administração);???;???;Pici;858;-
